,,,Up until 2022 (inclusive),From 2023 (inclusive) onwards,"m <- prophet(df_test, 
             yearly.seasonality = TRUE,
             seasonality.prior.scale = 0.5,
             changepoint.prior.scale = 0.9)","m <- prophet(df_test, yearly.seasonality = TRUE)","m <- prophet(df_test, yearly.seasonality = TRUE)",Used Average for forecast,,
Date Time,TRUE Difference in Volume of Water,FORECASTED Difference in Volume of Water,TRUE Volume of Water,FORECASTED Volume of Water,Sum (changed fbprophet),upperCRB_SoilMoi40_100cm_inst,upperCRB_SWE_inst (kg m-2),PDSI (Index),PDSI Extreme Bad,PDSI Extreme Good
2024-05-01,,-349.77,,"6,552.51",933950.1581,80.6262907,-2.1248037840,-2.24,-4,4
2024-06-01,,-225.12,,"6,327.39",834987.1566,73.04230118,-2.5816371130,-2.24,-4,4
2024-07-01,,-193.09,,"6,134.30",811011.3256,62.57012187,-2.4656925890,-2.24,-4,4
2024-08-01,,-61.43,,"6,072.87",708926.1306,57.91844363,-2.3948470740,-2.24,-4,4
2024-09-01,,0.82,,"6,073.69",660790.898,56.37993058,-2.3085464770,-2.24,-4,4
2024-10-01,,90.97,,"6,164.65",591945.0619,58.60672285,-1.8784385850,-2.24,-4,4
2024-11-01,,154.83,,"6,319.48",560014.9973,62.47696412,-0.0929811491,-2.24,-4,4
2024-12-01,,219.84,,"6,539.32",496322.4644,62.91435714,6.8977391700,-2.24,-4,4
2025-01-01,,263.60,,"6,802.92",470243.0047,63.90697225,15.5447021400,-2.24,-4,4
2025-02-01,,225.07,,"7,028.00",500924.2781,65.98322885,16.0807579300,-2.24,-4,4
2025-03-01,,-166.47,,"6,861.53",796058.7166,69.68403743,8.3377171870,-2.24,-4,4
2025-04-01,,-323.89,,"6,537.64",928811.5272,76.5622687,0.5810018177,-2.24,-4,4
2025-05-01,,-328.57,,"6,209.06",916942.4367,79.60342351,-2.2241865280,-2.24,-4,4
2025-06-01,,-223.43,,"5,985.63",833368.3479,72.37540306,-2.6637255140,-2.24,-4,4
2025-07-01,,-196.02,,"5,789.61",812685.2493,61.4534146,-2.6351508290,-2.24,-4,4
2025-08-01,,-67.14,,"5,722.47",712671.6345,56.71226185,-2.6119937190,-2.24,-4,4
2025-09-01,,-12.17,,"5,710.30",670103.6706,55.09371608,-2.5645303900,-2.24,-4,4
2025-10-01,,79.10,,"5,789.40",600167.0262,57.80932391,-2.1747055270,-2.24,-4,4
2025-11-01,,166.43,,"5,955.83",543421.9055,61.23449132,-0.3186340011,-2.24,-4,4
2025-12-01,,244.98,,"6,200.81",476742.7038,62.07294197,6.7923810630,-2.24,-4,4
2026-01-01,,258.56,,"6,459.37",473581.4072,62.6504397,15.3742923200,-2.24,-4,4
2026-02-01,,202.86,,"6,662.23",517452.3531,64.83031624,15.9268038600,-2.24,-4,4
2026-03-01,,-164.70,,"6,497.54",794392.5178,68.66869035,8.0697857590,-2.24,-4,4
2026-04-01,,-313.69,,"6,183.85",923944.5504,75.23434403,0.3969704586,-2.24,-4,4
2026-05-01,,-307.35,,"5,876.50",899962.5774,78.58588891,-2.3204529460,-2.24,-4,4
2026-06-01,,-222.16,,"5,654.34",832089.1615,71.70610939,-2.7463822290,-2.24,-4,4
2026-07-01,,-199.20,,"5,455.14",814576.4353,60.33012399,-2.8075561200,-2.24,-4,4
2026-08-01,,-73.02,,"5,382.12",716587.888,55.50457995,-2.8317186540,-2.24,-4,4
2026-09-01,,-25.02,,"5,357.09",679368.4101,53.8140186,-2.8217307050,-2.24,-4,4
2026-10-01,,68.01,,"5,425.10",607883.6417,57.01420232,-2.4687463090,-2.24,-4,4
2026-11-01,,184.19,,"5,609.29",526403.3189,59.99108474,-0.5392813999,-2.24,-4,4
2026-12-01,,269.60,,"5,878.90",457560.2146,61.22962309,6.6880979520,-2.24,-4,4
2027-01-01,,252.66,,"6,131.56",477584.4836,61.3901697,15.1999993900,-2.24,-4,4
2027-02-01,,180.45,,"6,312.01",534138.4285,63.67943031,15.7680003800,-2.24,-4,4
2027-03-01,,-162.32,,"6,149.69",792279.1388,67.65244109,7.8024912630,-2.24,-4,4
2027-04-01,,-300.24,,"5,849.45",918690.4931,73.90702075,0.2175208201,-2.24,-4,4
2027-05-01,,-286.13,,"5,563.32",883032.0488,77.57358324,-2.4137272320,-2.24,-4,4
2027-06-01,,-221.34,,"5,341.98",831155.0775,71.03405397,-2.8297710630,-2.24,-4,4
2027-07-01,,-202.62,,"5,139.36",816679.9271,59.2003542,-2.9829508090,-2.24,-4,4
2027-08-01,,-79.06,,"5,060.30",720664.5399,54.29566409,-3.0539668120,-2.24,-4,4
2027-09-01,,-37.74,,"5,022.56",688568.5572,52.54104619,-3.0800220840,-2.24,-4,4
2027-10-01,,57.67,,"5,080.23",615087.8101,56.22107619,-2.7604240250,-2.24,-4,4
2027-11-01,,203.95,,"5,284.18",508981.9713,58.74676306,-0.7549441686,-2.24,-4,4
2027-12-01,,293.68,,"5,577.86",438799.7569,60.38420148,6.5846749420,-2.24,-4,4
2028-01-01,,245.91,,"5,823.77",482245.7725,60.12631347,15.0217076000,-2.24,-4,4
2028-02-01,,157.88,,"5,981.65",550956.147,62.53065597,15.6043725200,-2.24,-4,4
2028-03-01,,-162.55,,"5,819.10",792295.8209,66.38994181,7.8504248450,-2.24,-4,4
2028-04-01,,-274.57,,"5,544.52",928296.1237,73.58200773,0.0138912218,-2.24,-4,4
2028-05-01,,-347.70,,"5,196.83",928962.5723,76.31769527,-2.8804535790,-2.24,-4,4
2028-06-01,,-222.03,,"4,974.80",829999.5708,68.73370574,-3.3372869080,-2.24,-4,4
2028-07-01,,-189.85,,"4,784.94",806023.7399,58.26152644,-3.2213423850,-2.24,-4,4
2028-08-01,,-57.86,,"4,727.09",703938.5448,53.6098482,-3.1504968690,-2.24,-4,4
2028-09-01,,4.50,,"4,731.59",655803.3122,52.07133515,-3.0641962720,-2.24,-4,4
2028-10-01,,94.41,,"4,825.99",586957.4762,54.29812742,-2.6340883800,-2.24,-4,4
2028-11-01,,144.64,,"4,970.63",555027.4115,58.16836869,-0.8486309445,-2.24,-4,4
2028-12-01,,225.07,,"5,195.70",491334.8786,58.60576171,6.1420893750,-2.24,-4,4
2029-01-01,,267.60,,"5,463.30",465255.4189,59.59837682,14.7890523400,-2.24,-4,4
2029-02-01,,228.98,,"5,692.28",495936.6924,61.67463342,15.3251081300,-2.24,-4,4
2029-03-01,,-161.30,,"5,530.98",791071.1308,65.375442,7.5820673920,-2.24,-4,4
2029-04-01,,-304.63,,"5,226.35",923823.9415,72.25367327,-0.1746479777,-2.24,-4,4
2029-05-01,,-326.28,,"4,900.07",911954.851,75.29482808,-2.9798363230,-2.24,-4,4
2029-06-01,,-220.25,,"4,679.83",828380.7621,68.06680763,-3.4193753090,-2.24,-4,4
2029-07-01,,-192.61,,"4,487.22",807697.6635,57.14481917,-3.3908006250,-2.24,-4,4
2029-08-01,,-63.37,,"4,423.86",707684.0487,52.40366642,-3.3676435140,-2.24,-4,4
2029-09-01,,-8.27,,"4,415.58",665116.0848,50.78512064,-3.3201801850,-2.24,-4,4
2029-10-01,,82.83,,"4,498.42",595179.4404,53.50072847,-2.9303553230,-2.24,-4,4
2029-11-01,,164.00,,"4,662.41",538434.3198,56.92589588,-1.0742837970,-2.24,-4,4
2029-12-01,,250.22,,"4,912.64",471755.1181,57.76434654,6.0367312680,-2.24,-4,4
2030-01-01,,262.60,,"5,175.24",468593.8214,58.34184426,14.6186425200,-2.24,-4,4
2030-02-01,,206.82,,"5,382.06",512464.7674,60.52172081,15.1711540600,-2.24,-4,4
2030-03-01,,-159.45,,"5,222.61",789404.9321,64.36009492,7.3141359640,-2.24,-4,4
2030-04-01,,-307.51,,"4,915.10",918956.9647,70.92574859,-0.3586793368,-2.24,-4,4
2030-05-01,,-304.85,,"4,610.24",894974.9916,74.27729348,-3.0761027410,-2.24,-4,4
2030-06-01,,-218.89,,"4,391.35",827101.5757,67.39751395,-3.5020320250,-2.24,-4,4
2030-07-01,,-195.62,,"4,195.73",809588.8496,56.02152856,-3.5632059150,-2.24,-4,4
2030-08-01,,-69.06,,"4,126.67",711600.3023,51.19598451,-3.5873684500,-2.24,-4,4
2030-09-01,,-20.94,,"4,105.73",674380.8243,49.50542317,-3.5773805000,-2.24,-4,4
2030-10-01,,71.98,,"4,177.71",602896.056,52.70560689,-3.2243961040,-2.24,-4,4
2030-11-01,,184.32,,"4,362.03",521415.7332,55.68248931,-1.2949311950,-2.24,-4,4
2030-12-01,,274.86,,"4,636.89",452572.6289,56.92102765,5.9324481570,-2.24,-4,4
2031-01-01,,256.75,,"4,893.64",472596.8978,57.08157427,14.4443496000,-2.24,-4,4
2031-02-01,,184.46,,"5,078.10",529150.8427,59.37083487,15.0123505900,-2.24,-4,4
2031-03-01,,-157.00,,"4,921.09",787291.5531,63.34384565,7.0468414670,-2.24,-4,4
2031-04-01,,-305.83,,"4,615.27",913702.9073,69.59842531,-0.5381289753,-2.24,-4,4
2031-05-01,,-283.45,,"4,331.82",878044.463,73.26498781,-3.1693770270,-2.24,-4,4
2031-06-01,,-217.98,,"4,113.84",826167.4917,66.72545854,-3.5854208580,-2.24,-4,4
2031-07-01,,-198.88,,"3,914.96",811692.3413,54.89175877,-3.7386006040,-2.24,-4,4
2031-08-01,,-74.94,,"3,840.02",715676.9541,49.98706866,-3.8096166070,-2.24,-4,4
2031-09-01,,-33.49,,"3,806.53",683580.9715,48.23245076,-3.8356718800,-2.24,-4,4
2031-10-01,,61.84,,"3,868.37",610100.2244,51.91248076,-3.5160738200,-2.24,-4,4
2031-11-01,,205.46,,"4,073.83",503994.3856,54.43816763,-1.5105939640,-2.24,-4,4
2031-12-01,,298.95,,"4,372.77",433812.1712,56.07560605,5.8290251470,-2.24,-4,4
2032-01-01,,250.04,,"4,622.82",477258.1867,55.81771804,14.2660578100,-2.24,-4,4
2032-02-01,,161.94,,"4,784.75",545968.5612,58.22206054,14.8487227300,-2.24,-4,4
2032-03-01,,-157.22,,"4,627.53",787308.2352,62.08134638,7.0947750500,-2.24,-4,4
2032-04-01,,-321.93,,"4,305.60",923308.538,69.2734123,-0.7417585736,-2.24,-4,4
2032-05-01,,-344.66,,"3,960.94",923974.9865,72.00909984,-3.6361033750,-2.24,-4,4
2032-06-01,,-218.26,,"3,742.69",825011.985,64.42511031,-4.0929367030,-2.24,-4,4
2032-07-01,,-185.91,,"3,556.78",801036.1541,53.95293101,-3.9769921800,-2.24,-4,4
2032-08-01,,-53.62,,"3,503.16",698950.959,49.30125277,-3.9061466650,-2.24,-4,4
2032-09-01,,8.83,,"3,511.99",650815.7265,47.76273972,-3.8198460680,-2.24,-4,4
2032-10-01,,98.61,,"3,610.61",581969.8904,49.98953198,-3.3897381760,-2.24,-4,4
2032-11-01,,146.15,,"3,756.75",550039.8258,53.85977325,-1.6042807400,-2.24,-4,4
2032-12-01,,230.53,,"3,987.29",486347.2929,54.29716627,5.3864395790,-2.24,-4,4
2033-01-01,,271.76,,"4,259.05",460267.8331,55.28978138,14.0334025500,-2.24,-4,4
2033-02-01,,233.06,,"4,492.11",490949.1066,57.36603798,14.5694583300,-2.24,-4,4
2033-03-01,,-155.89,,"4,336.21",786083.5451,61.06684657,6.8264175970,-2.24,-4,4
2033-04-01,,-319.03,,"4,017.18",918836.3557,67.94507783,-0.9302977731,-2.24,-4,4
2033-05-01,,-323.09,,"3,694.09",906967.2652,70.98623265,-3.7354861180,-2.24,-4,4
2033-06-01,,-216.40,,"3,477.69",823393.1764,63.7582122,-4.1750251050,-2.24,-4,4
2033-07-01,,-188.53,,"3,289.15",802710.0778,52.83622373,-4.1464504200,-2.24,-4,4
2033-08-01,,-58.99,,"3,230.16",702696.463,48.09507099,-4.1232933090,-2.24,-4,4
2033-09-01,,-3.79,,"3,226.37",660128.4991,46.47652521,-4.0758299800,-2.24,-4,4
2033-10-01,,87.22,,"3,313.59",590191.8547,49.19213304,-3.6860051180,-2.24,-4,4
2033-11-01,,166.36,,"3,479.95",533446.734,52.61730045,-1.8299335920,-2.24,-4,4
2033-12-01,,255.69,,"3,735.64",466767.5323,53.45575111,5.2810814720,-2.24,-4,4
2034-01-01,,266.81,,"4,002.45",463606.2356,54.03324883,13.8629927300,-2.24,-4,4
2034-02-01,,210.95,,"4,213.40",507477.1816,56.21312538,14.4155042600,-2.24,-4,4
2034-03-01,,-153.97,,"4,059.43",784417.3463,60.05149949,6.5584861680,-2.24,-4,4
2034-04-01,,-315.05,,"3,744.38",913969.3789,66.61715316,-1.1143291320,-2.24,-4,4
2034-05-01,,-301.52,,"3,442.85",889987.4058,69.96869805,-3.8317525370,-2.24,-4,4
2034-06-01,,-214.99,,"3,227.87",822113.99,63.08891852,-4.2576818200,-2.24,-4,4
2034-07-01,,-191.43,,"3,036.44",804601.2638,51.71293313,-4.3188557100,-2.24,-4,4
2034-08-01,,-64.56,,"2,971.88",706612.7165,46.88738908,-4.3430182450,-2.24,-4,4
2034-09-01,,-16.33,,"2,955.55",669393.2385,45.19682774,-4.3330302960,-2.24,-4,4
2034-10-01,,76.52,,"3,032.08",597908.4702,48.39701145,-3.9800458990,-2.24,-4,4
2034-11-01,,187.30,,"3,219.37",516428.1474,51.37389388,-2.0505809910,-2.24,-4,4
2034-12-01,,280.34,,"3,499.71",447585.0431,52.61243222,5.1767983620,-2.24,-4,4
2035-01-01,,261.00,,"3,760.71",467609.3121,52.77297884,13.6886998000,-2.24,-4,4
2035-02-01,,188.63,,"3,949.34",524163.257,55.06223944,14.2567007900,-2.24,-4,4
2035-03-01,,-151.44,,"3,797.90",782303.9673,59.03525022,6.2911916720,-2.24,-4,4
2035-04-01,,-310.19,,"3,487.72",908715.3216,65.28982988,-1.2937787710,-2.24,-4,4
2035-05-01,,-279.99,,"3,207.73",873056.8773,68.95639237,-3.9250268230,-2.24,-4,4
2035-06-01,,-214.01,,"2,993.72",821179.906,62.41686311,-4.3410706540,-2.24,-4,4
2035-07-01,,-194.58,,"2,799.14",806704.7556,50.58316333,-4.4942503990,-2.24,-4,4
2035-08-01,,-70.31,,"2,728.82",710689.3683,45.67847322,-4.5652664030,-2.24,-4,4
2035-09-01,,-28.75,,"2,700.07",678593.3857,43.92385533,-4.5913216750,-2.24,-4,4
2035-10-01,,66.53,,"2,766.60",605112.6386,47.60388533,-4.2717236160,-2.24,-4,4
2035-11-01,,208.89,,"2,975.49",499006.7998,50.1295722,-2.2662437590,-2.24,-4,4
2035-12-01,,304.43,,"3,279.92",428824.5854,51.76701062,5.0733753510,-2.24,-4,4
2036-01-01,,254.34,,"3,534.26",472270.601,51.50912261,13.5104080100,-2.24,-4,4
2036-02-01,,166.16,,"3,700.42",540980.9755,53.91346511,14.0930729300,-2.24,-4,4
2036-03-01,,-151.65,,"3,548.78",782320.6494,57.77275095,6.3391252540,-2.24,-4,4
2036-04-01,,-324.31,,"3,224.47",918320.9522,64.96481687,-1.4974083690,-2.24,-4,4
2036-05-01,,-340.96,,"2,883.51",918987.4008,67.7005044,-4.3917531700,-2.24,-4,4
2036-06-01,,-213.98,,"2,669.53",820024.3993,60.11651488,-4.8485864990,-2.24,-4,4
2036-07-01,,-181.45,,"2,488.08",796048.5683,49.64433557,-4.7326419750,-2.24,-4,4
2036-08-01,,-48.90,,"2,439.18",693963.3733,44.99265734,-4.6617964600,-2.24,-4,4
2036-09-01,,13.64,,"2,452.82",645828.1407,43.45414428,-4.5754958630,-2.24,-4,4
2036-10-01,,103.34,,"2,556.16",576982.3047,45.68093655,-4.1453879710,-2.24,-4,4
2036-11-01,,149.51,,"2,705.66",545052.24,49.55117782,-2.3599305350,-2.24,-4,4
2036-12-01,,236.24,,"2,941.90",481359.7071,49.98857084,4.6307897840,-2.24,-4,4
2037-01-01,,276.09,,"3,217.99",455280.2474,50.98118595,13.2777527500,-2.24,-4,4
2037-02-01,,237.30,,"3,455.30",485961.5208,53.05744255,13.8138085400,-2.24,-4,4
2037-03-01,,-150.23,,"3,305.06",781095.9593,56.75825113,6.0707678010,-2.24,-4,4
2037-04-01,,-320.07,,"2,984.99",913848.77,63.6364824,-1.6859475690,-2.24,-4,4
2037-05-01,,-319.28,,"2,665.70",901979.6795,66.67763721,-4.4911359140,-2.24,-4,4
2037-06-01,,-212.07,,"2,453.63",818405.5906,59.44961677,-4.9306749000,-2.24,-4,4
2037-07-01,,-183.98,,"2,269.65",797722.492,48.5276283,-4.9021002160,-2.24,-4,4
2037-08-01,,-54.17,,"2,215.49",697708.8772,43.78647555,-4.8789431050,-2.24,-4,4
2037-09-01,,1.12,,"2,216.61",655140.9133,42.16792978,-4.8314797760,-2.24,-4,4
2037-10-01,,92.07,,"2,308.68",585204.2689,44.88353761,-4.4416549140,-2.24,-4,4
2037-11-01,,170.09,,"2,478.77",528459.1483,48.30870502,-2.5855833870,-2.24,-4,4
2037-12-01,,261.41,,"2,740.18",461779.9465,49.14715567,4.5254316770,-2.24,-4,4
2038-01-01,,271.19,,"3,011.37",458618.6499,49.7246534,13.1073429300,-2.24,-4,4
2038-02-01,,215.24,,"3,226.60",502489.5959,51.90452994,13.6598544700,-2.24,-4,4
2038-03-01,,-148.22,,"3,078.38",779429.7606,55.74290405,5.8028363730,-2.24,-4,4
2038-04-01,,-315.14,,"2,763.24",908981.7931,62.30855773,-1.8699789280,-2.24,-4,4
2038-05-01,,-297.61,,"2,465.63",884999.8201,65.66010261,-4.5874023320,-2.24,-4,4
2038-06-01,,-210.60,,"2,255.03",817126.4042,58.78032309,-5.0133316150,-2.24,-4,4
2038-07-01,,-186.78,,"2,068.25",799613.6781,47.40433769,-5.0745055060,-2.24,-4,4
2038-08-01,,-59.63,,"2,008.62",701625.1307,42.57879365,-5.0986680410,-2.24,-4,4
2038-09-01,,-11.31,,"1,997.31",664405.6528,40.8882323,-5.0886800910,-2.24,-4,4
2038-10-01,,81.49,,"2,078.80",592920.8845,44.08841602,-4.7356956950,-2.24,-4,4
2038-11-01,,191.34,,"2,270.13",511440.5617,47.06529845,-2.8062307860,-2.24,-4,4
2038-12-01,,286.06,,"2,556.19",442597.4574,48.30383679,4.4211485660,-2.24,-4,4
