"ds","trend","additive_terms","additive_terms_lower","additive_terms_upper","yearly","yearly_lower","yearly_upper","multiplicative_terms","multiplicative_terms_lower","multiplicative_terms_upper","yhat_lower","yhat_upper","trend_lower","trend_upper","yhat"
2027-06-01,698266.626966105,132888.450521562,132888.450521562,132888.450521562,132888.450521562,132888.450521562,132888.450521562,0,0,0,712919.869677373,936145.497424491,609560.793656234,772193.468273097,831155.077487666
2027-07-01,698164.212474175,118515.71461591,118515.71461591,118515.71461591,118515.71461591,118515.71461591,118515.71461591,0,0,0,698262.868886389,924984.316354733,607125.371848813,774451.419049228,816679.927090086
2027-08-01,698058.384165848,22606.1556965861,22606.1556965861,22606.1556965861,22606.1556965861,22606.1556965861,22606.1556965861,0,0,0,601650.403764769,826511.068557649,605184.236870219,777470.474134383,720664.539862434
2027-09-01,697952.555857521,-9383.99861491041,-9383.99861491041,-9383.99861491041,-9383.99861491041,-9383.99861491041,-9383.99861491041,0,0,0,568319.020307635,798148.056719971,601823.915369287,779500.47091701,688568.557242611
2027-10-01,697850.141365592,-82762.3312221171,-82762.3312221171,-82762.3312221171,-82762.3312221171,-82762.3312221171,-82762.3312221171,0,0,0,494687.749252149,726088.587085413,598878.850567423,781263.766979597,615087.810143474
2027-11-01,697744.313057264,-188762.341744074,-188762.341744074,-188762.341744074,-188762.341744074,-188762.341744074,-188762.341744074,0,0,0,382057.874840487,620867.998933713,596975.605059492,783574.846944709,508981.97131319
2027-12-01,697641.898565335,-258842.141651584,-258842.141651584,-258842.141651584,-258842.141651584,-258842.141651584,-258842.141651584,0,0,0,312358.137875701,548876.283725019,593864.408764322,785811.375943205,438799.756913751
2028-01-01,697536.070257008,-215290.297752788,-215290.297752788,-215290.297752788,-215290.297752788,-215290.297752788,-215290.297752788,0,0,0,354309.56345369,596156.866901811,591181.802693192,787663.727303411,482245.77250422
2028-02-01,697430.241948681,-146474.094942898,-146474.094942898,-146474.094942898,-146474.094942898,-146474.094942898,-146474.094942898,0,0,0,423543.657639551,675261.529951697,588394.152444042,789417.55517032,550956.147005782
2028-03-01,697331.241273149,94964.5796691936,94964.5796691936,94964.5796691936,94964.5796691936,94964.5796691936,94964.5796691936,0,0,0,658552.03098108,912362.495711633,586341.37149853,792371.731828509,792295.820942343
2028-04-01,697225.412964822,231070.710775088,231070.710775088,231070.710775088,231070.710775088,231070.710775088,231070.710775088,0,0,0,793544.275318924,1045922.77737272,583974.106265951,794906.59387042,928296.12373991
2028-05-01,697122.998472892,231839.573822738,231839.573822738,231839.573822738,231839.573822738,231839.573822738,231839.573822738,0,0,0,794694.066104206,1048245.32320463,580765.919854354,797143.122868915,928962.572295631
2028-06-01,697017.170164565,132982.40063945,132982.40063945,132982.40063945,132982.40063945,132982.40063945,132982.40063945,0,0,0,695417.454434385,965855.915062877,576306.528856408,797824.999291413,829999.570804016
2028-07-01,696914.755672636,109108.984182716,109108.984182716,109108.984182716,109108.984182716,109108.984182716,109108.984182716,0,0,0,651862.514192373,931467.603190898,573874.660555446,800584.012647253,806023.739855352
2028-08-01,696808.927364309,7129.61743137278,7129.61743137278,7129.61743137278,7129.61743137278,7129.61743137278,7129.61743137278,0,0,0,545845.298080889,841584.677619673,571753.783808084,804001.811797634,703938.544795682
2028-09-01,696703.099055982,-40899.7868197165,-40899.7868197165,-40899.7868197165,-40899.7868197165,-40899.7868197165,-40899.7868197165,0,0,0,505157.740915929,786633.274553238,568170.789727291,806595.756694787,655803.312236265
2028-10-01,696600.684564052,-109643.208390724,-109643.208390724,-109643.208390724,-109643.208390724,-109643.208390724,-109643.208390724,0,0,0,447317.236980282,716477.891754429,565672.328105203,808549.420761242,586957.476173328
2028-11-01,696494.856255725,-141467.444747425,-141467.444747425,-141467.444747425,-141467.444747425,-141467.444747425,-141467.444747425,0,0,0,401028.807713147,686272.758209156,563053.621789477,810111.770548396,555027.4115083
