Month,Electricity,,,,,,,,,,,
Jan,"13,243","13,332","13,140","12,734","12,368","12,134","12,063","12,144","12,098","12,125","12,130","12,369"
Feb,"13,332",,,,,,,,,,,
Mar,"13,140",,,,,,,,,,,
Apr,"12,734",,,,,,,,,,,
May,"12,368",,,,,,,,,,,
Jun,"12,134",,,,,,,,,,,
Jul,"12,063",,,,,,,,,,,
Aug,"12,144",,,,,,,,,,,
Sep,"12,098",,,,,,,,,,,
Oct,"12,125",,,,,,,,,,,
Nov,"12,130",,,,,,,,,,,
Dec,"12,369",,,,,,,,,,,
