year,month,time,mead_Evap_tavg,mead_Tair_f_inst,mead_Rainf_tavg,mead_Qsb_acc,mead_Qsm_acc,year,month,time,upperCRB_Evap_tavg,upperCRB_Tair_f_inst,upperCRB_Snowf_tavg,upperCRB_Rainf_tavg,upperCRB_SoilMoi0_10cm_inst,upperCRB_SoilMoi10_40cm_inst,upperCRB_SoilMoi40_100cm_inst,upperCRB_SoilMoi100_200cm_inst,upperCRB_SWE_inst,upperCRB_Qsb_acc,upperCRB_Qs_acc,upperCRB_Qsm_acc,upperCRB_SnowDepth_inst,upperCRB_PotEvap_tavg,upperCRB_ECanop_tavg,upperCRB_Tveg_tavg,upperCRB_ESoil_tavg,upperCRB_RootMoist_inst,ARIZONA,CALIFORNIA,NEVADA,"MEXICO (In satisfaction with treaty, NOT INCLUDING water bypassed from pursuant of MINUTE NO. 242 OF THE IBWC, and excess delivery)",Lake Powell,Lake Mead,Lake Mohave,Lake Havasu,Southwest December Palmer Drought Severity Index (PDSI)
2000,1,2000-01-01,2.38E-06,281.4570267,4.57E-06,0.001559186833,0,2000,1,2000-01-01,2.45E-06,267.653656,7.82E-06,5.26E-06,21.66981437,46.55808904,81.13079225,177.7187884,10.32421425,0.002287182984,0.0007913303084,0.03752825715,0.06530170671,23.53063324,0.4934938914,0.0275762587,2.95811977,161.080307,165200,299100,15600,171900,21137,25046,1685,553,-2.82
2000,2,2000-02-01,7.36E-06,282.3598883,2.05E-05,0.00152645115,5.17E-05,2000,2,2000-02-01,5.74E-06,270.0920249,8.85E-06,4.86E-06,28.53830956,54.48090321,83.24099265,177.6602557,15.84026081,0.002125761262,0.004125572608,0.05842789549,0.08570891075,38.74523456,0.7424706939,0.1564613689,7.801355775,177.8897999,217000,335700,14600,187000,20948,24974,1664,538,-3.22
2000,3,2000-03-01,1.26E-05,284.477935,8.95E-06,0.00189142476,0,2000,3,2000-03-01,1.06E-05,271.6168307,8.82E-06,8.76E-06,29.83782775,64.31442788,86.81673059,178.3184346,13.72441998,0.0028838719,0.008487226531,0.07645685973,0.06469489258,65.76804162,2.429373226,0.5398178745,15.96044573,192.546903,282300,472300,22300,218600,20819,24598,1674,543,-2.65
2000,4,2000-04-01,7.18E-06,291.709615,1.70E-06,0.0021098125,0,2000,4,2000-04-01,1.40E-05,278.2238141,2.12E-06,5.20E-06,22.42828952,68.69674055,93.42895495,179.7780492,4.951966112,0.003900808148,0.005676652765,0.04311935395,0.01838212126,196.6349588,2.957041402,6.083481954,22.14045383,196.1729975,324800,565900,31300,198800,20674,24213,1697,576,-3.23
2000,5,2000-05-01,4.33E-06,297.3257867,2.18E-06,0.0020544086,0,2000,5,2000-05-01,1.80E-05,285.0209332,1.16E-06,8.19E-06,16.23728572,57.71257061,94.37074628,179.6412972,0.1783219723,0.003364213466,0.0009185417324,0.004419683864,0.0008037057953,322.9952093,5.693710859,21.04458716,17.48740517,180.0959996,363700,590700,36900,170600,21045,24047,1747,593,-4.38
2000,6,2000-06-01,3.04E-06,301.2690967,2.97E-06,0.001936687492,0,2000,6,2000-06-01,1.67E-05,289.709318,1.95E-07,6.02E-06,12.20206306,43.9437485,83.19026196,178.0838313,0.01113240939,0.002706322524,0.0001814608615,0.0005641021606,7.04E-05,370.9082288,4.672010445,28.80536653,8.30618959,150.887577,248000,552800,33400,157100,21758,23514,1701,593,-4.58
2000,7,2000-07-01,2.85E-06,303.203755,1.94E-06,0.001819670708,0,2000,7,2000-07-01,1.27E-05,293.438,1.48E-08,6.44E-06,11.5907762,36.14391931,71.98814075,175.8757989,0.0003615535135,0.00225117198,0.0001038961908,1.76E-06,2.49E-06,377.3142339,5.046712521,19.30059783,7.557276054,130.4890362,236100,580400,36700,163900,21569,22912,1670,576,-5.41
2000,8,2000-08-01,1.13E-05,302.5717483,1.49E-05,0.001710880408,0,2000,8,2000-08-01,1.29E-05,292.9271749,1.10E-08,1.36E-05,13.78580427,34.58820056,66.04508272,174.0314316,0.0002830172784,0.001980845339,0.0003426314288,7.70E-06,1.91E-06,307.9445476,9.1989452,11.35024675,11.73981627,124.5314054,198200,511500,36900,133800,21305,22435,1710,595,-5.27
2000,9,2000-09-01,6.03E-06,297.9584667,1.25E-06,0.001609104223,0,2000,9,2000-09-01,1.02E-05,286.267991,7.07E-07,1.14E-05,14.87794419,36.56079294,63.91510828,172.8245041,0.1202332636,0.00177854437,0.0003920533477,0.002956656197,0.0008014757648,246.0977323,6.053059006,7.644236753,11.53356478,125.2248593,168300,353000,29400,131300,20939,22444,1523,566,-5.69
2000,10,2000-10-01,4.39E-06,290.580925,1.89E-05,0.0015174798,0,2000,10,2000-10-01,5.39E-06,278.3657079,2.95E-06,1.68E-05,16.57708095,41.93316149,64.00631358,171.9685587,0.3943931367,0.001628073375,0.003469521696,0.008553506678,0.00225020583,119.2091069,2.889514181,2.366124983,7.755672215,132.2738232,139200,297300,30400,173500,20753,22435,1348,588,-3.51
2000,11,2000-11-01,6.24E-06,280.5189333,2.69E-06,0.001663958317,0,2000,11,2000-11-01,3.89E-06,266.2901062,5.79E-06,1.99E-06,22.248895,56.41761465,71.60079932,172.8351174,6.362297077,0.00279878197,0.0002437272496,0.02422318955,0.04592527118,36.35818814,0.9878342936,0.1257973327,4.996731508,159.8256932,219200,319400,21400,155200,20302,22405,1471,542,-2.72
2000,12,2000-12-01,4.12E-06,281.2799783,1.47E-06,0.001876491967,3.49E-06,2000,12,2000-12-01,3.01E-06,266.1406312,5.44E-06,7.58E-07,25.46403126,56.31972024,71.32665533,173.205812,12.22314103,0.002783230697,0.0002592094908,0.01435894603,0.08719094354,23.78046463,0.5928930189,0.104702136,4.003742252,162.7094183,240700,284100,13100,175400,19823,22358,1609,547,-2.79
