Southwest December Palmer Drought Severity Index (PDSI)
Base Period: 1895-2023
Missing: -99
Date,Value,Anomaly
199710,2.00,2.05
199711,1.77,1.92
199712,1.95,2.09
199801,1.37,1.34
199802,2.02,1.99
199803,2.41,2.44
199804,2.49,2.51
199805,2.17,2.20
199806,2.16,2.25
199807,3.19,3.26
199808,2.59,2.73
199809,2.00,2.09
199810,2.90,2.95
199811,-0.04,0.11
199812,-0.49,-0.35
199901,-1.00,-1.03
199902,-1.74,-1.77
199903,-2.52,-2.49
199904,1.26,1.28
199905,1.45,1.48
199906,1.10,1.19
199907,1.77,1.84
199908,2.41,2.55
199909,2.27,2.36
199910,-0.89,-0.84
199911,-1.98,-1.83
199912,-2.43,-2.29
200001,-2.82,-2.85
200002,-3.22,-3.25
200003,-2.65,-2.62
200004,-3.23,-3.21
200005,-4.38,-4.35
200006,-4.58,-4.49
200007,-5.41,-5.34
200008,-5.27,-5.13
200009,-5.69,-5.60
200010,-3.51,-3.46
200011,-2.72,-2.57
200012,-2.79,-2.65
200101,-2.08,-2.11
200102,-1.68,-1.71
200103,-1.51,-1.48
200104,-1.36,-1.34
200105,-1.17,-1.14
200106,-1.32,-1.23
200107,-1.49,-1.42
200108,-1.52,-1.38
200109,-2.25,-2.16
200110,-2.80,-2.75
200111,-2.73,-2.58
200112,-2.75,-2.61
200201,-3.12,-3.15
200202,-3.60,-3.63
200203,-3.88,-3.85
200204,-4.61,-4.59
200205,-5.80,-5.77
200206,-6.81,-6.72
200207,-7.30,-7.23
200208,-7.73,-7.59
200209,-6.20,-6.11
200210,-5.32,-5.27
200211,-4.95,-4.80
200212,-4.64,-4.50
200301,-5.32,-5.35
200302,-4.41,-4.44
200303,-4.08,-4.05
200304,-4.00,-3.98
200305,-4.46,-4.43
200306,-4.49,-4.40
200307,-5.57,-5.50
200308,-5.72,-5.58
200309,-5.59,-5.50
200310,-5.84,-5.79
200311,-5.00,-4.85
200312,-4.78,-4.64
200401,-4.65,-4.68
200402,-3.84,-3.87
200403,-4.47,-4.44
200404,-3.22,-3.20
200405,-3.75,-3.72
200406,-3.73,-3.64
200407,-3.64,-3.57
200408,-3.59,-3.45
200409,0.47,0.56
200410,1.26,1.31
200411,1.99,2.14
200412,1.94,2.08
200501,2.97,2.94
200502,3.90,3.87
200503,3.86,3.89
200504,3.85,3.87
200505,4.15,4.18
200506,4.75,4.84
200507,-0.38,-0.31
200508,0.41,0.55
200509,-0.29,-0.20
200510,-0.03,0.02
200511,-0.75,-0.60
200512,-1.27,-1.13
200601,-1.86,-1.89
200602,-2.67,-2.70
200603,-2.43,-2.40
200604,-2.95,-2.93
200605,-4.30,-4.27
200606,-5.20,-5.11
200607,-4.60,-4.53
200608,-3.54,-3.40
200609,-2.54,-2.45
200610,-1.27,-1.22
200611,-1.79,-1.64
200612,-1.75,-1.61
200701,-1.74,-1.77
200702,-1.95,-1.98
200703,-2.41,-2.38
200704,-2.42,-2.40
200705,-2.62,-2.59
200706,-3.21,-3.12
200707,-3.26,-3.19
200708,-3.38,-3.24
200709,-3.06,-2.97
200710,-3.35,-3.30
200711,-3.78,-3.63
200712,-2.43,-2.29
200801,-1.60,-1.63
200802,-1.12,-1.15
200803,-1.53,-1.50
200804,-1.86,-1.84
200805,-1.66,-1.63
200806,-1.79,-1.70
200807,-1.29,-1.22
200808,-0.85,-0.71
200809,-1.23,-1.14
200810,-1.34,-1.29
200811,-1.58,-1.43
200812,-1.01,-0.87
200901,-1.35,-1.38
200902,-1.68,-1.71
200903,-2.26,-2.23
200904,-2.07,-2.05
200905,-2.48,-2.45
200906,-2.22,-2.13
200907,-2.44,-2.37
200908,-3.46,-3.32
200909,-3.40,-3.31
200910,-2.95,-2.90
200911,-3.38,-3.23
200912,0.16,0.30
201001,0.98,0.95
201002,1.35,1.32
201003,1.41,1.44
201004,1.44,1.46
201005,1.31,1.34
201006,1.30,1.39
201007,1.73,1.80
201008,-0.02,0.12
201009,-0.76,-0.67
201010,-0.50,-0.45
201011,-0.71,-0.56
201012,-0.29,-0.15
201101,-0.89,-0.92
201102,-0.80,-0.83
201103,-1.46,-1.43
201104,-1.48,-1.46
201105,-1.36,-1.33
201106,-2.11,-2.02
201107,-2.21,-2.14
201108,-2.94,-2.80
201109,-2.84,-2.75
201110,-2.57,-2.52
201111,-2.45,-2.30
201112,-1.97,-1.83
201201,-2.42,-2.45
201202,-2.49,-2.52
201203,-3.23,-3.20
201204,-3.87,-3.85
201205,-4.80,-4.77
201206,-5.91,-5.82
201207,-5.64,-5.57
201208,-5.92,-5.78
201209,-5.67,-5.58
201210,-5.76,-5.71
201211,-6.05,-5.90
201212,-5.31,-5.17
201301,-4.86,-4.89
201302,-4.68,-4.71
201303,-4.95,-4.92
201304,-4.81,-4.79
201305,-5.26,-5.23
201306,-6.03,-5.94
201307,-5.11,-5.04
201308,-4.74,-4.60
201309,-2.52,-2.43
201310,-2.49,-2.44
201311,-2.02,-1.87
201312,-2.12,-1.98
201401,-2.61,-2.64
201402,-3.06,-3.09
201403,-3.38,-3.35
201404,-3.54,-3.52
201405,-3.95,-3.92
201406,-4.82,-4.73
201407,-4.42,-4.35
201408,-3.46,-3.32
201409,-2.05,-1.96
201410,-2.48,-2.43
201411,-2.56,-2.41
201412,-2.33,-2.19
201501,-2.06,-2.09
201502,-2.37,-2.40
201503,-2.92,-2.89
201504,-2.95,-2.93
201505,1.28,1.31
201506,1.01,1.10
201507,1.37,1.44
201508,0.84,0.98
201509,0.17,0.26
201510,0.84,0.89
201511,0.92,1.07
201512,0.92,1.06
201601,0.95,0.92
201602,-0.68,-0.71
201603,-1.49,-1.46
201604,-1.18,-1.16
201605,-1.23,-1.20
201606,-1.82,-1.73
201607,-2.70,-2.63
201608,-2.23,-2.09
201609,-1.93,-1.84
201610,-2.63,-2.58
201611,-2.57,-2.42
201612,0.50,0.64
201701,1.66,1.63
201702,-0.06,-0.09
201703,-0.80,-0.77
201704,-0.87,-0.85
201705,-0.79,-0.76
201706,-1.22,-1.13
201707,0.43,0.50
201708,0.17,0.31
201709,0.36,0.45
201710,-0.58,-0.53
201711,-1.70,-1.55
201712,-2.51,-2.37
201801,-3.15,-3.18
201802,-3.31,-3.34
201803,-3.84,-3.81
201804,-4.47,-4.45
201805,-5.53,-5.50
201806,-6.56,-6.47
201807,-6.40,-6.33
201808,-6.46,-6.32
201809,-6.55,-6.46
201810,1.48,1.53
201811,1.08,1.23
201812,0.81,0.95
201901,0.98,0.95
201902,1.82,1.79
201903,2.28,2.31
201904,1.99,2.01
201905,2.90,2.93
201906,3.34,3.43
201907,-0.20,-0.13
201908,-1.27,-1.13
201909,-1.50,-1.41
201910,-1.59,-1.54
201911,-0.55,-0.40
201912,-0.22,-0.08
202001,-0.49,-0.52
202002,-0.38,-0.41
202003,-0.12,-0.09
202004,-0.68,-0.66
202005,-1.49,-1.46
202006,-1.99,-1.90
202007,-2.67,-2.60
202008,-4.36,-4.22
202009,-4.92,-4.83
202010,-5.26,-5.21
202011,-5.41,-5.26
202012,-5.36,-5.22
202101,-5.18,-5.21
202102,-5.15,-5.18
202103,-4.89,-4.86
202104,-5.04,-5.02
202105,-5.26,-5.23
202106,-5.74,-5.65
202107,-4.83,-4.76
202108,-4.57,-4.43
202109,-4.56,-4.47
202110,-4.14,-4.09
202111,-4.87,-4.72
202112,-4.28,-4.14
202201,-4.51,-4.54
202202,-4.53,-4.56
202203,-4.59,-4.56
202204,-5.03,-5.01
202205,-5.81,-5.78
202206,-5.83,-5.74
202207,-5.55,-5.48
202208,0.38,0.52
202209,-0.43,-0.34
202210,0.28,0.33
202211,0.21,0.36
202212,0.41,0.55
202301,1.28,1.25
202302,1.39,1.36
202303,2.10,2.13
202304,1.54,1.56
202305,1.89,1.92
202306,2.36,2.45
202307,-0.75,-0.68
202308,-1.05,-0.91
202309,-1.25,-1.16
202310,-1.73,-1.68
202311,-2.08,-1.93
202312,-2.25,-2.11
202401,-2.06,-2.09
