Date Time,Lake Mead Differnece (Thousand acre-feet),ARIZONA (acre-feet),CALIFORNIA (acre-feet),NEVADA (acre-feet),MEXICO (acre-feet),Sum,mead_Evap_tavg (kg m-2 s-1),mead_Tair_f_inst (K),mead_Rainf_tavg (kg m-2 s-1),upperCRB_Tair_f_inst (K),upperCRB_Snowf_tavg (kg m-2 s-1),upperCRB_Rainf_tavg (kg m-2 s-1),upperCRB_SoilMoi40_100cm_inst,upperCRB_SWE_inst (kg m-2),PDSI (Index)
2001-01-01,0165.0000000000,216400.0000000000,235400.0000000000,14600.0000000000,166500.0000000000,632900.0000000000,0000.0000048484,0279.2860333333,0000.0000150678,0264.9579389331,0000.0000070489,0000.0000022704,0070.9915828682,0018.8902934461,-0002.0800000000
2001-02-01,-0093.0000000000,236000.0000000000,310700.0000000000,14500.0000000000,192700.0000000000,753900.0000000000,0000.0000086175,0280.5504150000,0000.0000176684,0267.4309469456,0000.0000087917,0000.0000035282,0071.2167944079,0024.8728295636,-0001.6800000000
2001-03-01,-0276.0000000000,254400.0000000000,266400.0000000000,17000.0000000000,241700.0000000000,779500.0000000000,0000.0000129794,0286.2189266667,0000.0000096495,0271.7226617782,0000.0000048687,0000.0000046353,0075.9611149916,0016.6498654617,-0001.5100000000
2001-04-01,-0551.0000000000,305400.0000000000,535700.0000000000,28300.0000000000,200000.0000000000,1069400.0000000000,0000.0000129174,0289.2870750000,0000.0000086599,0276.6802370293,0000.0000040029,0000.0000086772,0082.3374600628,0005.3244068918,-0001.3600000000
2001-05-01,-0476.0000000000,345800.0000000000,593200.0000000000,39800.0000000000,110600.0000000000,1089400.0000000000,0000.0000044606,0298.6366283333,0000.0000011759,0284.2284523849,0000.0000008973,0000.0000085790,0087.2358893054,0000.4306921443,-0001.1700000000
2001-06-01,-0570.0000000000,302600.0000000000,566700.0000000000,31600.0000000000,122200.0000000000,1023100.0000000000,0000.0000030312,0302.2879316667,0000.0000012623,0289.8394081381,0000.0000001221,0000.0000046664,0081.3921571799,0000.0042282078,-0001.3200000000
2001-07-01,-0312.0000000000,250900.0000000000,589300.0000000000,37400.0000000000,143000.0000000000,1020600.0000000000,0000.0000069208,0302.9479683333,0000.0000065878,0292.6581240586,0000.0000000003,0000.0000113001,0072.2116832824,0000.0000253914,-0001.4900000000
2001-08-01,-0108.0000000000,199700.0000000000,548500.0000000000,38000.0000000000,113600.0000000000,899800.0000000000,0000.0000104661,0304.4076983333,0000.0000115400,0291.3115469247,0000.0000000003,0000.0000165847,0069.0895732992,0000.0001355615,-0001.5200000000
2001-09-01,-0264.0000000000,181500.0000000000,457600.0000000000,31700.0000000000,103100.0000000000,773900.0000000000,0000.0000029431,0300.9303366667,0000.0000008387,0287.9595148745,0000.0000001790,0000.0000051068,0068.0155767845,0000.0266352859,-0002.2500000000
2001-10-01,0009.0000000000,154500.0000000000,421300.0000000000,30100.0000000000,85200.0000000000,691100.0000000000,0000.0000012052,0294.6011916667,0000.0000020824,0280.5774457322,0000.0000009199,0000.0000044509,0066.3518812887,0000.1170546799,-0002.8000000000
2001-11-01,-0106.0000000000,182000.0000000000,342600.0000000000,19100.0000000000,99000.0000000000,642700.0000000000,0000.0000030421,0286.8891816667,0000.0000047311,0274.3694632636,0000.0000049036,0000.0000057946,0065.9868686967,0002.1577337887,-0002.7300000000
2001-12-01,0019.0000000000,211900.0000000000,287500.0000000000,13300.0000000000,123200.0000000000,635900.0000000000,0000.0000037871,0279.0771700000,0000.0000074491,0267.0103091213,0000.0000075598,0000.0000013967,0066.0899544686,0014.5101206052,-0002.7500000000
2002-01-01,0075.0000000000,209800.0000000000,289100.0000000000,13100.0000000000,143300.0000000000,655300.0000000000,0000.0000047691,0280.3594733333,0000.0000011716,0266.3499467155,0000.0000037030,0000.0000008069,0066.1329580209,0020.2601406232,-0003.1200000000
2002-02-01,-0188.0000000000,247400.0000000000,340000.0000000000,12300.0000000000,159500.0000000000,759200.0000000000,0000.0000037480,0283.6194866667,0000.0000004761,0267.0252089540,0000.0000021143,0000.0000006904,0066.2483817929,0018.8616184365,-0003.6000000000
2002-03-01,-0570.0000000000,322200.0000000000,459300.0000000000,21000.0000000000,215500.0000000000,1018000.0000000000,0000.0000040495,0284.9941616667,0000.0000028046,0270.4639773431,0000.0000051984,0000.0000027561,0066.6616929038,0014.3026858778,-0003.8800000000
2002-04-01,-0573.0000000000,333600.0000000000,537200.0000000000,30400.0000000000,207300.0000000000,1108500.0000000000,0000.0000049972,0292.6376533333,0000.0000022836,0279.0390781590,0000.0000011340,0000.0000056713,0068.2129385628,0002.3219290423,-0004.6100000000
2002-05-01,-0624.0000000000,356300.0000000000,576400.0000000000,36500.0000000000,121200.0000000000,1090400.0000000000,0000.0000026011,0295.8916383333,0000.0000005599,0283.6271657113,0000.0000004758,0000.0000028146,0069.2013734603,0000.1822400143,-0005.8000000000
2002-06-01,-0382.0000000000,320300.0000000000,555100.0000000000,35300.0000000000,122900.0000000000,1033600.0000000000,0000.0000015927,0302.8192583333,0000.0000004028,0291.3253138912,0000.0000000058,0000.0000022434,0064.4137830481,0000.0001727685,-0006.8100000000
2002-07-01,-0190.0000000000,256700.0000000000,615400.0000000000,39900.0000000000,127500.0000000000,1039500.0000000000,0000.0000026838,0305.8942400000,0000.0000028313,0294.3309226778,0000.0000000000,0000.0000083660,0058.7141879487,0000.0000205831,-0007.3000000000
2002-08-01,-0134.0000000000,238700.0000000000,567600.0000000000,40700.0000000000,105200.0000000000,952200.0000000000,0000.0000020289,0303.7795450000,0000.0000028644,0291.1630073013,0000.0000000010,0000.0000080005,0056.0736184644,0000.0001437441,-0007.7300000000
2002-09-01,-0116.0000000000,189700.0000000000,444900.0000000000,33400.0000000000,112500.0000000000,780500.0000000000,0000.0000093930,0299.2308316667,0000.0000109017,0285.7033512343,0000.0000002065,0000.0000236312,0057.6856477469,0000.0254986051,-0006.2000000000
2002-10-01,-0061.0000000000,149700.0000000000,368900.0000000000,29900.0000000000,79200.0000000000,627700.0000000000,0000.0000044834,0291.2934366667,0000.0000071476,0277.6429944770,0000.0000034022,0000.0000097978,0064.8181681715,0000.7576722600,-0005.3200000000
2002-11-01,-0182.0000000000,197300.0000000000,335800.0000000000,20400.0000000000,103700.0000000000,657200.0000000000,0000.0000053868,0285.4053700000,0000.0000075766,0271.2783957531,0000.0000040038,0000.0000031525,0067.8582184456,0003.9825376454,-0004.9500000000
2002-12-01,-0132.0000000000,165600.0000000000,275900.0000000000,13600.0000000000,125400.0000000000,580500.0000000000,0000.0000049040,0279.8473766667,0000.0000059306,0268.3997047280,0000.0000051215,0000.0000017985,0068.6897748494,0006.0027702619,-0004.6400000000
2003-01-01,0136.0000000000,216938.0000000000,246971.0000000000,14745.0000000000,134481.0000000000,613135.0000000000,0000.0000045430,0284.4683133333,0000.0000015046,0270.9118859623,0000.0000021692,0000.0000013022,0068.9419409812,0008.6996336129,-0005.3200000000
2003-02-01,0124.0000000000,195797.0000000000,153644.0000000000,13220.0000000000,181491.0000000000,544152.0000000000,0000.0000094962,0282.2833083333,0000.0000259414,0268.4549459205,0000.0000062771,0000.0000112062,0071.8709694100,0010.8495767329,-0004.4100000000
2003-03-01,-0152.0000000000,282488.0000000000,416174.0000000000,15250.0000000000,207010.0000000000,920922.0000000000,0000.0000140663,0285.8652566667,0000.0000130560,0272.6606169247,0000.0000076661,0000.0000063640,0076.2528819665,0010.0875393842,-0004.0800000000
2003-04-01,-0539.0000000000,312166.0000000000,504884.0000000000,23240.0000000000,204714.0000000000,1045004.0000000000,0000.0000120768,0288.5860033333,0000.0000077317,0277.5380933682,0000.0000020650,0000.0000062209,0082.6845831904,0003.2174237954,-0004.0000000000
2003-05-01,-0394.0000000000,319683.0000000000,478069.0000000000,26352.0000000000,112358.0000000000,936462.0000000000,0000.0000073265,0296.7333800000,0000.0000033455,0284.4328681381,0000.0000008667,0000.0000086177,0086.4011518766,0000.3324188454,-0004.4600000000
2003-06-01,-0160.0000000000,285427.0000000000,434218.0000000000,33862.0000000000,111490.0000000000,864997.0000000000,0000.0000019975,0302.2533683333,0000.0000001799,0289.0293849791,0000.0000001223,0000.0000084669,0080.0900600188,0000.0170546547,-0004.4900000000
2003-07-01,-0135.0000000000,228575.0000000000,473590.0000000000,36908.0000000000,122177.0000000000,861250.0000000000,0000.0000017880,0305.9920033333,0000.0000059098,0295.1474985983,0000.0000000001,0000.0000054603,0070.2318544979,0000.0000062424,-0005.5700000000
2003-08-01,0143.0000000000,163063.0000000000,433069.0000000000,33332.0000000000,100876.0000000000,730340.0000000000,0000.0000098775,0303.6572050000,0000.0000089034,0291.9175015900,0000.0000000011,0000.0000134628,0066.2558949979,0000.0001122790,-0005.7200000000
2003-09-01,-0123.0000000000,162915.0000000000,388474.0000000000,28105.0000000000,92836.0000000000,672330.0000000000,0000.0000074215,0300.8685150000,0000.0000034357,0286.6734305649,0000.0000000447,0000.0000118143,0067.4896614351,0000.0050297245,-0005.5900000000
